prefix,first,last,email,gender,age,company,profession,phone,postal,province,cc_no,cc_exp,cc_type,price(CAD),fav_color,ip,weekday
Dr.,Ray,Morton,sebvajom@kol.km,Male,38,Medtronic Inc.,Health Therapist,(987) 619-2695,B6V 3W3,MB,5.02E+15,05/2018,Solo,8.36,Blue,126.23.139.2,Sunday
Miss.,Claudia,Rodriquez,acu@jatsot.ug,Female,51,"Ames Department Stores, Inc.",Health Therapist,(356) 736-7352,G7M 5F3,SK,5.02E+15,07/2028,Visa,68.31,Black,106.198.76.211,Tuesday
Miss.,Harry,Meyer,zuz@lo.wf,Female,51,CSX Corp.,Political Scientist,(539) 246-1806,A0Z 6P9,NS,6.3E+15,02/2023,Switch,34.65,Black,186.150.187.29,Wednesday
Miss.,Edith,Gilbert,hansohsi@jupec.md,Female,55,Murphy Oil Corporation,Transportation Manager,(984) 962-7494,P9I 9H3,YT,3.53E+15,02/2028,Maestro,64.59,White,80.140.57.161,Saturday
Dr.,Lura,Murphy,webediti@je.st,Female,20,PETsMART Inc,Statistician,(902) 568-9748,S1A 6K0,ON,4.03E+15,10/2025,Diners Club International,20.83,Yellow,211.103.43.41,Friday
Mrs.,Andre,McGuire,to@hotvo.ne,Male,50,Timken Company,Communications Director,(770) 426-3078,G8J 3D9,AB,5.61E+15,12/2018,Laser,25.32,Red,44.6.228.222,Thursday
Mr.,Cody,Thompson,nebuite@mi.bg,Female,62,Nicor Inc,Special Education Teacher,(837) 589-1682,T2I 9L2,PE,6.37E+15,10/2020,Solo,52.88,Blue,46.87.230.156,Thursday
Mr.,Cory,Duncan,rucekefif@zi.mt,Male,36,Integrated Electrical Services Inc.,Urban Planner,(529) 615-1417,C9D 4Y4,NU,6.3E+15,10/2028,Diners Club enRoute,10.69,Blue,209.5.235.14,Friday
Miss.,Dorothy,Watkins,cakpez@can.pm,Female,36,Service Corp. International,Veterinarian,(279) 709-6064,B0X 0B5,MB,3.43E+14,03/2022,Diners Club Carte Blanche,99.56,Green,11.57.253.20,Wednesday
Dr.,Rose,Tate,nafi@kuzrame.ee,Female,53,Eastman Kodak Company,Software Engineer,(410) 596-2046,M4I 0U9,NT,6.3E+15,04/2022,Discover Card,26.32,Red,177.27.84.7,Saturday
